category,text
tech,million miss net uk population still without internet access home say study around million briton miss wide range essential service education medical information predicts report telecom giant bt compare million uk currently online idea digital divide evaporate time wishful thinking report concludes study call government telecom industry come new way lure bypassed digital revolution although percentage briton without home access fallen slightly remain digital refuseniks miss report suggests everyday task move online offline service become le comprehensive divide become obvious burdensome got net access predicts gap net nots much talked prediction divide affect future generation le discussed bt set predict future pattern based current information taking account way technology changing optimist predict convergence emergence user friendly technology bridge digital divide could way mark report suggests internet access device tends something taken already said adrian hosford director corporate responsibility bt cost internet access fallen dramatically coverage remote area vastly improved last year real barrier remains psychological hard rump nots engaging net motivation skill perceive benefit said mr hosford disadvantaged group likely remain among low income family older generation disabled low income account quarter digital nots disabled make elderly nearly third report forecast organisation bt responsibility help tackle problem said mr hosford telco seen positive result everybody online project offer internet access people eight deprived community around britain one area cornwall high level unemployment online training helped people rewrite cv learn skill get new job explained mr hosford grassroot activity addressing specific need individual community essential problem digital divide overcome said address problem get lot worse people find difficult find job education opportunity limited simply able keep society said alliance digital inclusion independent body member drawn government industry voluntary sector recently set tackle issue faced digital refuseniks
politics,budget bring smiling voter tory spokesman oliver letwin said chancellor would use pre election budget offer vote winning sweetener would everyone indeed expect gordon brown last budget expected polling day may plenty talk taking risk economy handing irresponsible giveaway mr brown stun westminster break every historical precedent fails something designed put smile voter face make inclined back labour election already speculation possible tax reduction poorest increasing threshold stamp duty week budget aim package keep disillusioned core labour voter fold ensuring middle england voter gave tony blair two election victory desert third poll needle say plenty analysis impact budget mr brown ambition replace mr blair prime minister point third win shadow hanging pre election performance shape billion thereabouts size financial black hole tory backed independent forecaster believe mr brown fill tax increase election opening shot battle fired weekend claim treasury leak suggested mr brown ready slap capital gain tax home sale raise cash immediately denied tory remain suspicious claiming mr letwin said money come come mr brown undoubtedly claim forecast simply wrong absolutely need raise tax election labour win previous gloomy forecast proved wrong argue suggesting sticking britain continue sound economy low unemployment high public spending opposition reject claiming keep economy sound increase spending cut tax time liberal democrat also promise run sound economy based increased tax fund spending amongst thing abolishing council tax favour local income tax prolonged argument party make greatest saving whitehall beyond fund policy probably boil simple question party voter trust keep economy stable avoid unpleasant surprise coming year probably still answer one question overwhelmingly decide outcome general election
tech,door open biggest gadget fair thousand technology lover industry expert gathered la vega annual consumer electronics show ce fair showcase latest technology gadget hit shop next year new product unveiled show unfolds microsoft chief bill gate make pre show keynote speech wednesday expected announce detail next generation xbox thrust year show technology put people charge multimedia content store listen watch want device time anywhere people expected attend trade show stretch million square foot highlight include latest trend digital imaging storage technology thinner flat screen high definition tv wireless portable technology gaming broadband technology show also includes several speech key technology company intel microsoft hewlett packard among others story year remains digital completely transforming revolutionising product way people interact jeff joseph consumer electronics association cea told bbc news website personalisation taking mp player creating playlist taking digital video recorder watch want watch longer whim broadcaster consumer electronics gadget phenomenal year according figure released ce organiser cea tuesday gadget explosion signalled strongest growth yet u shipment consumer electronics rose almost trend predicted continue according cea analyst wholesale shipment consumer technology expected grow fastest growing technology included blank dvd medium liquid crystal display lcd tv digital video recorder dvrs portable music player year really begin see come life call place shifting pvr personal video recorder living room move content around house exhibitor showcasing take content anywhere said mr joseph said product making wave next year democratisation content device technology give people freedom music video image also focus design technology following lead apple ipod made ease use good look appeal wider range people key concern cea predicted would several key technology trend watch coming year gaming would continue thrive especially mobile device would reach diverse gamers woman game console sale declining launch next generation console microsoft xbox playstation could buoy sale although widely predicted mr gate would showcasing new xbox medium report cast doubt would talking keynote suggested announcement may take place game developer conference summer instead u home expected home network cea suggested hard drive box medium server capable storing thousand image video audio file accessed device around home commonplace portable device combine mobile telephony digital music video player also popular popularity driven multimedia content service let people watch listen film tv audio wherever mean storage technology demand external hard drive flash memory like sd card ce run officially january
sport,wale get williams fitness boost wale hopeful openside flanker martyn williams could fit saturday rb nation championship opener england cardiff williams expected miss match disc problem neck making speedy recovery test next hour pretty optimistic getting wale team physiotherapist mark davy said frustrating mend made good progress last week williams along fellow flanker colin charvis unlikely play least month recovers foot injury ruled millennium stadium clash williams initially thought struggling sign pointed towards wale coach mike ruddock handing first cap former wale skipper richie pugh cardiff blue flanker williams offer considerable experience declared fit ruddock might tempted include back row charvis reviewed wale medical staff next monday davy admitted outside chance fit face france wale third championship game february wale injury concern pugh fellow neath swansea osprey player sonny parker centre trapped nerve neck sonny injury still issue davy said still painful irritable run rule thumb next couple day ruddock name starting line england game gmt tuesday evening wale target first victory cardiff world champion since
entertainment,jamelia return top r b star jamelia three brit nomination go triple triumph last year mobo award birmingham born singer full name jamelia davis signed record label age released first single high released four number one album drama including top five hit money featuring vocal reggae artist beenie man racked five mobo nomination winning one best video year also fell pregnant decided take break music bring daughter teja born march originally planned get back work pretty swiftly giving birth actually two year released another single absence r b music exploded whole host female artist scene meaning jamelia prove comeback song bout featuring rah digga scrapped top next single superstar really put back map one britain popular female r b singer holding music scene dominated u artist beyonce ashanti superstar followed thank winner best single mobos reached number two uk chart autobiographical song deal domestic abuse hit number one new zealand australia next came song see boy eye especially written coldplay chris martin involvement song meant given massive publicity also greeted favourably new audience would usually listen r b combine singing modelling supporting charity including nspcc make trade fair despite huge success recent year jamelia remains earth fame chance lasting fickle music business partly due motherhood first got industry away home month time thing life still want make end world commented jamelia
tech,virus pose christmas e mail security firm warning window virus disguising electronic christmas card zafi virus translates christmas greeting subject line language person receiving infected e mail anti virus firm speculate multilingual ability helping malicious program spread widely online anti virus firm sophos said e mail currently net infected zafi virus like many window virus zafi plunder microsoft outlook e mail address us mail sending software despatch across web new victim infected user must open attachment travelling message bear code malicious bug attachment e mail pose electronic christmas card anyone opening simply get crude image two smiley face virus subject line say merry christmas translates one language depending final suffix e mail address infected message sent message body e mail read happy holiday translated infected machine virus try disable anti virus firewall software open backdoor pc hand control writer virus virus thought spread widely south america italy spain bulgaria hungary original zafi virus appeared april year seen hoax several christmas already personally prefer traditional pen paper card recommend client said mikko hypponen head f secure anti virus team
business,venezuela identifies idle farm venezuelan authority identified farm including large estate idle continues controversial land reform policy land law government tax seize unused farm site farm yet inspected state national land institute told associated press vice president jose vicente rangel said farmer rancher title order land productive nothing fear critic land reform policy claim president hugo chavez trying enforce communist style economic programme ignores property right damage country land owner claim national land institute made mistake classifying land public private government venezuela largest land owner say proceeding cautiously prevent conflict statement mr rangel said land reform constitution permit private property stressing effort vindicate social economically year inequality country one property conflict government el charcote cattle ranch run agroflora subsidiary uk food group vestey agriculture minister arnoldo marquez told reuters news agency site document guarantee private land administrator ranch however complained pro chavez squatter taken property last four year uk government asked venezuelan authority resolve conflict ask company going put paper order hand land said mr marquez
business,winemaker reject foster offer australian winemaker southcorp rejected takeover offer worth australian dollar brewing giant foster group southcorp whose brand include penfolds rosemount lindemans dismissed offer inadequate two company held four day talk foster bought stake southcorp january merger would create global player worldwide annual sale case revenue southcorp said foster share takeover proposal offered excellent strategic fit undervalued company southcorp board informed foster prepared recommend offer adequately reflect strategic value company said southcorp chairman brian finn southcorp said foster takeover offer opportunistic however said offer may represent opening bid opening possibility foster returning improved offer foster said combination two company would create global player unrivalled collection premium wine brand despite best known brewing foster lager foster already one australia largest wine producer owning beringer wolf blass brand among others combination foster southcorp transform global wine industry significantly enhance australia competitive position global stage said trevor ohoy foster chief executive officer foster spent buying stake southcorp oatley family founded rosemount estate business later merged southcorp share company suspended two held talk deal southcorp share rose news offer foster share fell
entertainment,wine comedy six film gong sideways wine tasting comedy starring paul giamatti six independent spirit award art house version oscar award held february day oscar spanish drama maria full grace colombian woman becomes drug courier got five nomination controversial biopic kinsey starring liam neeson sex researcher alfred kinsey one four film get four nomination award year honour quirky low budget film must degree independent financing sideways written directed alexander payne directed hit schmidt winning jack nicholson academy award nomination award better worse mean everything said sideways producer michael london adding huge first step toward getting recognition award among film receiving four nomination apiece brother brother drama young gay black man forced live street robbing peter primer primer tale discovery top prize sundance film festival earlier year walter salles critically acclaimed motorcycle diary forthcoming thriller woodsman starring kevin bacon received three nomination also running two nomination high school comedy napoleon dynamite door floor garden state written directed starring scrub star zach braff alongside natalie portman award announced actor selma blair dennis quaid los angeles tuesday
sport,hereford doncaster hereford win penalty rover took lead minute michael mcindoe corner found adriano rigoglioso whose stunning volley soared top right net danny williams equalised host minute crisp finish insist penalty box mcindoe saw extra time penalty saved giving mill chance net winning penalty mawson travis mkandawire james robinson daniel williams stanley hyde pitman purdie mill brown stansfield green sub used smith scott james daniel williams ingham mulligan fenton morley priet ryan mcindoe ravenhill price rigoglioso tierney jackson beardsley coppinger sub used warrington maloney rigoglioso parkes w midland
